G?AFMw 	independence=5 	domination=2
G?AFNK 	independence=5 	domination=3
G?AFMk 	independence=5 	domination=3
G?AFK{ 	independence=5 	domination=2
G?AFNw 	independence=5 	domination=2
G?AFNs 	independence=5 	domination=2
G?AFNk 	independence=5 	domination=2
G?AFM{ 	independence=5 	domination=2
G?AFN{ 	independence=5 	domination=1
G?AFvo 	independence=5 	domination=3
G?AFvg 	independence=5 	domination=2
G?AFrw 	independence=5 	domination=2
G?AFvw 	independence=5 	domination=2
G?AFvs 	independence=5 	domination=2
G?AFvk 	independence=5 	domination=2
G?AFr{ 	independence=5 	domination=2
G?AFv{ 	independence=5 	domination=1
G?AFng 	independence=5 	domination=3
G?AFnW 	independence=5 	domination=2
G?AFnw 	independence=5 	domination=2
G?AFnk 	independence=5 	domination=2
G?AFn[ 	independence=5 	domination=2
G?AFn{ 	independence=5 	domination=1
G?AF~w 	independence=5 	domination=2
G?AF~{ 	independence=5 	domination=1
G?BEF? 	independence=5 	domination=5
G?BE@o 	independence=5 	domination=3
G?BEEG 	independence=5 	domination=5
G?BEF_ 	independence=5 	domination=4
G?BEDo 	independence=5 	domination=3
G?BEFG 	independence=5 	domination=4
G?BEDg 	independence=5 	domination=3
G?BEEK 	independence=5 	domination=4
G?BEFo 	independence=5 	domination=3
G?BEFg 	independence=5 	domination=3
G?BEDw 	independence=5 	domination=2
G?BEFK 	independence=5 	domination=3
G?BEFw 	independence=5 	domination=2
G?BEFk 	independence=5 	domination=2
G?BEF{ 	independence=5 	domination=1
G?BDB? 	independence=5 	domination=5
G?BDF? 	independence=5 	domination=5
G?BDB_ 	independence=5 	domination=4
G?BDAo 	independence=5 	domination=3
G?BDDG 	independence=5 	domination=5
G?BDBG 	independence=5 	domination=4
G?BD@g 	independence=5 	domination=4
G?BDCK 	independence=5 	domination=5
G?BDAK 	independence=5 	domination=4
G?BD?k 	independence=5 	domination=4
G?BDF_ 	independence=5 	domination=4
G?BDEo 	independence=5 	domination=3
G?BDBo 	independence=5 	domination=3
G?BDFG 	independence=5 	domination=4
G?BDEg 	independence=5 	domination=3
G?BDDg 	independence=5 	domination=4
G?BDBg 	independence=5 	domination=3
G?BDCw 	independence=5 	domination=3
G?BDAw 	independence=5 	domination=2
G?BD@w 	independence=5 	domination=3
G?BDEK 	independence=5 	domination=4
G?BDBK 	independence=5 	domination=4
G?BDCk 	independence=5 	domination=4
G?BDAk 	independence=5 	domination=3
G?BD?{ 	independence=5 	domination=3
G?BDFo 	independence=5 	domination=3
G?BDFg 	independence=5 	domination=3
G?BDEw 	independence=5 	domination=2
