FCXfW 	independence=3 	domination=2
FCXfw 	independence=3 	domination=1
FCZf? 	independence=4 	domination=4
FCZb_ 	independence=3 	domination=3
FCZeO 	independence=3 	domination=3
FCZbO 	independence=3 	domination=3
FCZco 	independence=3 	domination=2
FCZf_ 	independence=3 	domination=3
FCZfO 	independence=3 	domination=3
FCZeo 	independence=3 	domination=2
FCZbo 	independence=3 	domination=2
FCZfG 	independence=3 	domination=3
FCZeg 	independence=3 	domination=2
FCZbg 	independence=3 	domination=3
FCZfo 	independence=3 	domination=2
FCZfg 	independence=3 	domination=2
FCZfW 	independence=3 	domination=2
FCZew 	independence=3 	domination=2
FCZbw 	independence=3 	domination=2
FCZfw 	independence=3 	domination=1
FCZV? 	independence=3 	domination=3
FCZUO 	independence=3 	domination=3
FCZTO 	independence=3 	domination=2
FCZSo 	independence=3 	domination=3
FCZV_ 	independence=3 	domination=3
FCZVO 	independence=3 	domination=2
FCZUo 	independence=3 	domination=3
FCZTo 	independence=3 	domination=2
FCZUg 	independence=3 	domination=2
FCZTg 	independence=3 	domination=2
FCZVo 	independence=3 	domination=2
FCZVg 	independence=3 	domination=2
FCZVW 	independence=3 	domination=2
FCZUw 	independence=3 	domination=2
FCZTw 	independence=3 	domination=2
FCZVw 	independence=3 	domination=1
FCZN_ 	independence=3 	domination=2
FCZMo 	independence=3 	domination=2
FCZLo 	independence=3 	domination=2
FCZJo 	independence=3 	domination=2
FCZNG 	independence=3 	domination=3
FCZMg 	independence=3 	domination=2
FCZLg 	independence=3 	domination=2
FCZJg 	independence=3 	domination=2
FCZMW 	independence=3 	domination=3
FCZLW 	independence=3 	domination=3
FCZKw 	independence=3 	domination=2
FCZIw 	independence=3 	domination=3
FCZHw 	independence=3 	domination=2
FCZNo 	independence=3 	domination=2
FCZNg 	independence=3 	domination=2
FCZNW 	independence=3 	domination=2
FCZMw 	independence=3 	domination=2
FCZLw 	independence=3 	domination=2
FCZJw 	independence=3 	domination=2
FCZNw 	independence=3 	domination=1
FCXn_ 	independence=3 	domination=2
FCXnO 	independence=3 	domination=3
FCXmo 	independence=3 	domination=2
FCXmW 	independence=3 	domination=3
FCXjW 	independence=3 	domination=2
FCXkw 	independence=3 	domination=2
FCXno 	independence=3 	domination=2
FCXnW 	independence=3 	domination=2
FCXmw 	independence=3 	domination=2
FCXnw 	independence=3 	domination=1
FCY^_ 	independence=3 	domination=2
FCY^O 	independence=3 	domination=2
FCY]o 	independence=3 	domination=2
FCY^G 	independence=3 	domination=2
FCY]g 	independence=3 	domination=2
FCY[w 	independence=3 	domination=2
FCY^o 	independence=3 	domination=2
FCY^g 	independence=3 	domination=2
FCY^W 	independence=3 	domination=2
FCY]w 	independence=3 	domination=2
FCY^w 	independence=3 	domination=1
FCZv_ 	independence=3 	domination=3
FCZvo 	independence=3 	domination=2
FCZvg 	independence=3 	domination=2
FCZvw 	independence=3 	domination=1
FCZn_ 	independence=3 	domination=2
FCZno 	independence=3 	domination=2
FCZng 	independence=3 	domination=2
FCZnW 	independence=3 	domination=2
FCZmw 	independence=3 	domination=2
FCZjw 	independence=3 	domination=2
FCZnw 	independence=3 	domination=1
FCZ^_ 	independence=3 	domination=2
FCZ^o 	independence=3 	domination=2
FCZ^g 	independence=3 	domination=2
FCZ]w 	independence=3 	domination=2
FCZ\w 	independence=3 	domination=2
FCZ^w 	independence=3 	domination=1
